nohup: ignoring input
I1203 17:25:26.157710  389329 tcp.go:130] "Processed message from exporter" observationDomainID=10000 setType=0 numRecords=1
I1203 17:25:26.157734  389329 collector.go:260] Processing IPFIX message
I1203 17:25:26.177757  389329 session.go:74] "Added template to template map" obsDomainID=10000 templateID=1023
I1203 17:25:26.177791  389329 tcp.go:130] "Processed message from exporter" observationDomainID=10000 setType=0 numRecords=1
I1203 17:25:26.177803  389329 collector.go:260] Processing IPFIX message
I1203 17:25:26.197850  389329 session.go:74] "Added template to template map" obsDomainID=10000 templateID=1024
I1203 17:25:26.197884  389329 tcp.go:130] "Processed message from exporter" observationDomainID=10000 setType=0 numRecords=1
I1203 17:25:26.197892  389329 collector.go:260] Processing IPFIX message
I1203 17:25:26.218025  389329 session.go:74] "Added template to template map" obsDomainID=10000 templateID=1025
I1203 17:25:26.218079  389329 tcp.go:130] "Processed message from exporter" observationDomainID=10000 setType=0 numRecords=1
I1203 17:25:26.218109  389329 collector.go:260] Processing IPFIX message
I1203 17:25:26.238501  389329 session.go:74] "Added template to template map" obsDomainID=10000 templateID=1026
I1203 17:25:26.238554  389329 tcp.go:130] "Processed message from exporter" observationDomainID=10000 setType=0 numRecords=1
I1203 17:25:26.238568  389329 collector.go:260] Processing IPFIX message
I1203 17:25:26.258510  389329 session.go:74] "Added template to template map" obsDomainID=10000 templateID=1027
I1203 17:25:26.258555  389329 tcp.go:130] "Processed message from exporter" observationDomainID=10000 setType=0 numRecords=1
I1203 17:25:26.258569  389329 collector.go:260] Processing IPFIX message
I1203 17:25:26.278596  389329 session.go:74] "Added template to template map" obsDomainID=10000 templateID=1028
I1203 17:25:26.278651  389329 tcp.go:130] "Processed message from exporter" observationDomainID=10000 setType=0 numRecords=1
I1203 17:25:26.278664  389329 collector.go:260] Processing IPFIX message
I1203 17:25:26.298716  389329 session.go:74] "Added template to template map" obsDomainID=10000 templateID=1029
I1203 17:25:26.298759  389329 tcp.go:130] "Processed message from exporter" observationDomainID=10000 setType=0 numRecords=1
I1203 17:25:26.298788  389329 collector.go:260] Processing IPFIX message
I1203 17:25:26.318875  389329 session.go:74] "Added template to template map" obsDomainID=10000 templateID=1030
I1203 17:25:26.318923  389329 tcp.go:130] "Processed message from exporter" observationDomainID=10000 setType=0 numRecords=1
I1203 17:25:26.318940  389329 collector.go:260] Processing IPFIX message
I1203 17:25:26.338981  389329 session.go:74] "Added template to template map" obsDomainID=10000 templateID=1031
I1203 17:25:26.339027  389329 tcp.go:130] "Processed message from exporter" observationDomainID=10000 setType=0 numRecords=1
I1203 17:25:26.339043  389329 collector.go:260] Processing IPFIX message
I1203 17:25:26.359088  389329 session.go:74] "Added template to template map" obsDomainID=10000 templateID=1032
I1203 17:25:26.359132  389329 tcp.go:130] "Processed message from exporter" observationDomainID=10000 setType=0 numRecords=1
I1203 17:25:26.359146  389329 collector.go:260] Processing IPFIX message
I1203 17:25:26.379216  389329 session.go:74] "Added template to template map" obsDomainID=10000 templateID=1033
I1203 17:25:26.379260  389329 tcp.go:130] "Processed message from exporter" observationDomainID=10000 setType=0 numRecords=1
I1203 17:25:26.379274  389329 collector.go:260] Processing IPFIX message
I1203 17:25:26.399301  389329 session.go:74] "Added template to template map" obsDomainID=10000 templateID=1034
I1203 17:25:26.399343  389329 tcp.go:130] "Processed message from exporter" observationDomainID=10000 setType=0 numRecords=1
I1203 17:25:26.399357  389329 collector.go:260] Processing IPFIX message
I1203 17:25:26.419398  389329 session.go:74] "Added template to template map" obsDomainID=10000 templateID=1035
I1203 17:25:26.419429  389329 tcp.go:130] "Processed message from exporter" observationDomainID=10000 setType=0 numRecords=1
I1203 17:25:26.419441  389329 collector.go:260] Processing IPFIX message
I1203 17:25:26.439495  389329 session.go:74] "Added template to template map" obsDomainID=10000 templateID=1036
I1203 17:25:26.439537  389329 tcp.go:130] "Processed message from exporter" observationDomainID=10000 setType=0 numRecords=1
I1203 17:25:26.439551  389329 collector.go:260] Processing IPFIX message
I1203 17:25:26.459602  389329 session.go:74] "Added template to template map" obsDomainID=10000 templateID=1037
I1203 17:25:26.459633  389329 tcp.go:130] "Processed message from exporter" observationDomainID=10000 setType=0 numRecords=1
I1203 17:25:26.459644  389329 collector.go:260] Processing IPFIX message
I1203 17:25:26.479679  389329 session.go:74] "Added template to template map" obsDomainID=10000 templateID=1038
I1203 17:25:26.479725  389329 tcp.go:130] "Processed message from exporter" observationDomainID=10000 setType=0 numRecords=1
I1203 17:25:26.479738  389329 collector.go:260] Processing IPFIX message
I1203 17:25:26.499781  389329 session.go:74] "Added template to template map" obsDomainID=10000 templateID=1039
I1203 17:25:26.499811  389329 tcp.go:130] "Processed message from exporter" observationDomainID=10000 setType=0 numRecords=1
I1203 17:25:26.499823  389329 collector.go:260] Processing IPFIX message
I1203 17:25:26.519902  389329 session.go:74] "Added template to template map" obsDomainID=10000 templateID=1040
I1203 17:25:26.519938  389329 tcp.go:130] "Processed message from exporter" observationDomainID=10000 setType=0 numRecords=1
I1203 17:25:26.519951  389329 collector.go:260] Processing IPFIX message
I1203 17:25:26.540029  389329 session.go:74] "Added template to template map" obsDomainID=10000 templateID=1041
I1203 17:25:26.540065  389329 tcp.go:130] "Processed message from exporter" observationDomainID=10000 setType=0 numRecords=1
I1203 17:25:26.540077  389329 collector.go:260] Processing IPFIX message
I1203 17:25:26.560178  389329 session.go:74] "Added template to template map" obsDomainID=10000 templateID=1042
I1203 17:25:26.560221  389329 tcp.go:130] "Processed message from exporter" observationDomainID=10000 setType=0 numRecords=1
I1203 17:25:26.560236  389329 collector.go:260] Processing IPFIX message
I1203 17:25:26.580273  389329 session.go:74] "Added template to template map" obsDomainID=10000 templateID=1043
